name,type,rating,location
1. Taj Mahal,Historic Sites   Points of Interest & Landmarks,5.0 of 5 bubbles,Agra
2. Agra Fort,Points of Interest & Landmarks   Architectural Buildings,4.5 of 5 bubbles,Agra
3. Tomb of Itimad-ud-Daulah,Points of Interest & Landmarks   Architectural Buildings,4.5 of 5 bubbles,Agra
4. Wildlife SOS,Nature & Wildlife Areas,5.0 of 5 bubbles,Agra
5. Mother Teresa's Missionaries of Charity,Missions Religious Sites,4.5 of 5 bubbles,Agra
6. Mehtab Bagh,Parks,4.0 of 5 bubbles,Agra
7. Sheesh Mahal,Architectural Buildings,4.5 of 5 bubbles,Agra
8. Agra Art Gallery,Art Galleries,4.5 of 5 bubbles,Agra
9. Gurudwara Guru ka Tal,Religious Sites,4.5 of 5 bubbles,Agra
10. Jama Masjid,Architectural Buildings   Religious Sites,4.0 of 5 bubbles,Agra
11. Kalakriti Cultural & Convention Center,Convention Centres,4.0 of 5 bubbles,Agra
12. Anguri Bagh,Gardens,4.0 of 5 bubbles,Agra
1.Gateway of India,Points of Interest & Landmarks   Monuments & Statues,4.0 of 5 bubbles,Mumbai
2.Marine Drive,Points of Interest & Landmarks   Scenic Drives,4.5 of 5 bubbles,Mumbai
3.Bandra-Worli Sea Link,Bridges,4.5 of 5 bubbles,Mumbai
4.Shree Siddhivinayak,Religious Sites,4.5 of 5 bubbles,Mumbai
5.Chhatrapati Shivaji Terminus,Historic Sites   Architectural Buildings,4.5 of 5 bubbles,Mumbai
6.KidZania Mumbai,Amusement & Theme Parks,4.5 of 5 bubbles,Mumbai
7.Colaba,Neighbourhoods,4.5 of 5 bubbles,Mumbai
8.Nariman Point,Neighbourhoods,4.5 of 5 bubbles,Mumbai
9.Elephanta Caves,Points of Interest & Landmarks,4.0 of 5 bubbles,Mumbai
10.Mani Bhavan Gandhi Museum,History Museums,4.5 of 5 bubbles,Mumbai
11.Global Vipassana Pagoda,Monuments & Statues,4.5 of 5 bubbles,Mumbai
12.Essel World,Amusement & Theme Parks,4.0 of 5 bubbles,Mumbai
1. Amber Palace,Historic Sites   Architectural Buildings,4.5 of 5 bubbles,Jaipur
2. Jantar Mantar - Jaipur,Observatories & Planetariums,4.5 of 5 bubbles,Jaipur
3. Hawa Mahal - Palace of Wind,Points of Interest & Landmarks   Architectural Buildings,4.0 of 5 bubbles,Jaipur
4. Sheesh Mahal (Hall of Mirrors),Architectural Buildings,4.5 of 5 bubbles,Jaipur
5. City Palace of Jaipur,Points of Interest & Landmarks   History Museums,4.0 of 5 bubbles,Jaipur
6. Birla Mandir Temple,Points of Interest & Landmarks   Architectural Buildings,4.5 of 5 bubbles,Jaipur
7. Elefriend,Nature & Wildlife Areas,5.0 of 5 bubbles,Jaipur
8. EleSafari,Nature & Wildlife Areas,5.0 of 5 bubbles,Jaipur
9. Nahargarh Fort,Military Museums   Historic Sites,4.0 of 5 bubbles,Jaipur
10. Elefun,Nature & Wildlife Areas,5.0 of 5 bubbles,Jaipur
11. Albert Hall Museum,Speciality Museums,4.0 of 5 bubbles,Jaipur
12. Mukesh Art Gallery,Art Galleries   Art Museums,5.0 of 5 bubbles,Jaipur
1.Ganges River,Bodies of Water,4.5 of 5 bubbles,Varanasi
2.Sarnath,Points of Interest & Landmarks   Religious Sites,4.5 of 5 bubbles,Varanasi
3.Dasaswamedh Ghat,Points of Interest & Landmarks,4.5 of 5 bubbles,Varanasi
4.Banaras Ghats,Points of Interest & Landmarks   Religious Sites,4.5 of 5 bubbles,Varanasi
5.Assi Ghat,Points of Interest & Landmarks,4.5 of 5 bubbles,Varanasi
6.Shri Kashi Vishwanath Temple (Golden Temple),Architectural Buildings   Religious Sites,4.0 of 5 bubbles,Varanasi
7.Ruchika Art Gallery,Art Galleries,5.0 of 5 bubbles,Varanasi
8.Ganga Aarti,Points of Interest & Landmarks,4.5 of 5 bubbles,Varanasi
9.Manikarnika Ghat,Points of Interest & Landmarks,4.5 of 5 bubbles,Varanasi
10.New Vishwanath Temple,Religious Sites,4.5 of 5 bubbles,Varanasi
11.Sunrise Yoga with Ayush - Varanasi,Sports Camps & Clinics,5.0 of 5 bubbles,Varanasi
12.Sankat Mochan Temple,Religious Sites,4.5 of 5 bubbles,Varanasi
1.Beas River,Bodies of Water,4.5 of 5 bubbles,Manali
2.Hidimba Devi Temple,Religious Sites,4.5 of 5 bubbles,Manali
3.Manikaran Gurudwara,Religious Sites,4.5 of 5 bubbles,Manali
4.Solang Valley,Valleys,4.0 of 5 bubbles,Manali
5.Jogini Waterfall,Waterfalls,4.5 of 5 bubbles,Manali
6.Gulaba,Lookouts,4.0 of 5 bubbles,Manali
7.Solang Nullah,Ski & Snowboard Areas,4.0 of 5 bubbles,Manali
8.Bhrigu Lake,Bodies of Water,4.5 of 5 bubbles,Manali
9.Beas Kund,Bodies of Water,4.5 of 5 bubbles,Manali
10.International Roerich Memorial Trust,Speciality Museums   History Museums,4.5 of 5 bubbles,Manali
11.Vashisht Baths,Hot Springs & Geysers,4.0 of 5 bubbles,Manali
12.Jana Waterfall,Waterfalls,4.0 of 5 bubbles,Manali
1.Qutub Minar,Points of Interest & Landmarks   Architectural Buildings,4.5 of 5 bubbles,New Delhi
2.Swaminarayan Akshardham,Religious Sites   Gardens,4.5 of 5 bubbles,New Delhi
3.Gurudwara Bangla Sahib,Historic Sites   Religious Sites,4.5 of 5 bubbles,New Delhi
4.Humayun's Tomb,Architectural Buildings   Religious Sites,4.5 of 5 bubbles,New Delhi
5.India Gate,Historic Sites   Points of Interest & Landmarks,4.0 of 5 bubbles,New Delhi
6.Lodhi Garden,Gardens,4.5 of 5 bubbles,New Delhi
7.Lotus Temple,Religious Sites,4.0 of 5 bubbles,New Delhi
8.Red Fort,Historic Sites   Points of Interest & Landmarks,4.0 of 5 bubbles,New Delhi
9.Chandni Chowk,Flea & Street Markets,4.0 of 5 bubbles,New Delhi
10.Hauz Khas Village,Neighbourhoods,4.5 of 5 bubbles,New Delhi
11.Rashtrapati Bhavan,Architectural Buildings,4.5 of 5 bubbles,New Delhi
12.Delhi Airport Metro Express,Public Transportation Systems,4.5 of 5 bubbles,New Delhi
1. Victoria Memorial Hall,Speciality Museums,4.5 of 5 bubbles,Kolkata
2. Dakshineswar Kali Temple,Points of Interest & Landmarks   Religious Sites,4.5 of 5 bubbles,Kolkata
3. Howrah Bridge,Bridges,4.5 of 5 bubbles,Kolkata
4. Mother House,Points of Interest & Landmarks,4.5 of 5 bubbles,Kolkata
5. Park Street,Points of Interest & Landmarks,4.5 of 5 bubbles,Kolkata
6. Eden Gardens,Arenas & Stadiums,4.5 of 5 bubbles,Kolkata
7. Eco Tourism Park,Parks,4.5 of 5 bubbles,Kolkata
8. College Street (Boi Para),Points of Interest & Landmarks,4.5 of 5 bubbles,Kolkata
9. Indian Museum (Jadu Ghar),Natural History Museums   History Museums,4.0 of 5 bubbles,Kolkata
10. South Park Street Cemetery,Cemeteries,4.5 of 5 bubbles,Kolkata
11. Science City,Amusement & Theme Parks   Science Museums,4.0 of 5 bubbles,Kolkata
12. St. Paul's Cathedral,Churches & Cathedrals,4.0 of 5 bubbles,Kolkata
1. Kapaleeshwarar Temple,Religious Sites,4.5 of 5 bubbles,Chennai
2. VGP Snow Kingdom,Amusement & Theme Parks,5.0 of 5 bubbles,Chennai
3. Marina Beach,Beaches,4.0 of 5 bubbles,Chennai
4. San Thome Church,Architectural Buildings   Religious Sites,4.5 of 5 bubbles,Chennai
5. Besant Nagar Beach,Beaches,4.0 of 5 bubbles,Chennai
6. Express Avenue Mall,Shopping Malls,4.0 of 5 bubbles,Chennai
7. Mylapore,Neighbourhoods,4.5 of 5 bubbles,Chennai
8. Parthasarathy Temple,Religious Sites,4.5 of 5 bubbles,Chennai
9. VGP Marine Kingdom,Aquariums,4.5 of 5 bubbles,Chennai
10. Shirdi Sai Baba Temple,Religious Sites,4.5 of 5 bubbles,Chennai
11. Ramakrishna Temple,Religious Sites,4.5 of 5 bubbles,Chennai
12. Chennai Central Railway Station,Points of Interest & Landmarks   Architectural Buildings,4.0 of 5 bubbles,Chennai
